id|feasibility|speed_by_grade|name|distance|kom|speed|average_grade|maximum_grade|elevation_high|elevation_low|climb_category|created_at|updated_at|total_elevation_gain|effort_count|athlete_count|star_count|local_legend
610040|no|2.9658785538461537e-117|Tour de Richmond Park|10818.3|13131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131313131323|2.9658785538461537e-117|0.0|45.8|54.7|28.5|0|2010-04-30T10:19:31Z|2021-07-24T01:55:35Z|244.3|4069030|75634|9237|226
6569701|no|5.847887323943663|Dark hill climb|380.6|33|41.52|7.1|16.6|232.0|204.8|0|2014-02-01T20:00:44Z|2021-05-20T08:02:51Z|27.2|2694400|102307|1156|260
18422608|no|-17.314897959183675|Broomfield Descent - Weeeeeeee|942.7|49|69.2595918367347|-4.0|0.7|55.4|18.0|0|2018-08-03T10:44:16Z|2021-05-20T08:04:45Z|0.0|2779340|95801|278|271
19961260|no|-1.2620879999999998e-57|Priory Lane - Richmond Park|1168.6|11111111111111111111111111111111111111111111111111111111111107|3.7862639999999995e-58|-0.3|9.8|26.6|19.4|0|2019-02-27T13:33:11Z|2021-05-20T08:04:59Z|4.6|3207759|113397|143|380
13965700|no|3.743755310110451|TCCDA 250m 9% Hill Climb Bfield|244.8|22|40.05818181818182|10.7|17.3|39.0|12.8|0|2017-01-11T15:23:25Z|2021-05-20T08:04:06Z|26.2|1475594|95780|352|147
7864990|no|9.48042e-58|👑LONDON•SURREY CLASSIC👑|5266.9|66666666666666666666666666666666666666666666666666666666666628|2.844126e-58|0.3|8.4|57.2|13.7|0|2014-08-10T21:48:41Z|2021-05-20T08:03:06Z|0.0|2257519|137662|997|229
4179923|no|17.292857142857144|Sawyer's Hill (steepest bit)|430.4|32|48.42|2.8|5.6|53.4|40.7|0|2013-05-22T09:56:51Z|2021-05-20T08:02:31Z|12.7|2819530|145498|823|270
18167884|no|2.2972500000000002e-58|RP Clock Long Climb|2552.5|33333333333333333333333333333333333333333333333333333333333325|2.7567000000000002e-58|1.2|7.5|57.4|26.2|0|2018-07-08T12:29:07Z|2021-05-20T08:04:43Z|35.4|1209076|92754|185|147
12968269|no|-2.730857142857143e-58|Dirty Wknd CC Sprint Finish (Full)|3540.0|33333333333333333333333333333333333333333333333333333333333337|3.8232e-58|-1.4|2.6|57.8|7.1|0|2016-08-21T17:42:00Z|2021-05-20T08:03:57Z|13.9|2565779|100673|111|248
15738277|no|22.768025078369906|RG sprint|403.5|29|50.0896551724138|2.2|5.2|47.8|39.0|0|2017-08-15T09:23:43Z|2021-05-20T08:04:22Z|8.8|2839334|161275|132|263
